samplename	grouping	YOB
Sample1	group1	1945
Sample2	group1	1945
Sample3	group1	1945
Sample4	group1	1945
Sample5	group1	1945
Sample6	group1	1945
Sample7	group1	1922
Sample8	group1	1922
Sample9	group1	1922
Sample10	group1	1922
Sample11	group2	1922
Sample12	group2	1922
Sample13	group2	1922
Sample14	group2	1922
Sample15	group2	1922
Sample16	group2	1922
Sample17	group2	1922
Sample18	group2	1922
Sample19	group2	1922
Sample20	group2	1922
Sample21	group2	1912
Sample22	group2	1913
Sample23	group2	1914
Sample24	group2	1915
